date,country,rank,previous_rank,total_points,previous_points,conf
2026-06-11,Hungary,39,42,1506.39,1500.58,UEFA
2026-06-11,Czechia,40,41,1505.74,1501.38,UEFA
2026-06-11,Paraguay,41,40,1505.35,1503.5,CONMEBOL
2026-06-11,Scotland,42,43,1503.34,1498.35,UEFA
2026-06-11,Serbia,43,39,1502.13,1508.65,UEFA
2026-06-11,Cameroon,44,45,1481.24,1481.24,CAF
2026-06-11,Tunisia,45,44,1476.41,1483.05,CAF
2026-06-11,Congo DR,46,46,1474.43,1478.35,CAF
2026-06-11,Slovakia,47,48,1473.66,1473.94,UEFA
2026-06-11,Greece,48,47,1473.19,1475.82,UEFA
2026-06-11,Venezuela,49,49,1469.18,1468.05,CONMEBOL
2026-06-11,Uzbekistan,50,50,1458.73,1465.34,AFC
2026-06-11,Chile,51,54,1458.2,1455.28,CONMEBOL
2026-06-11,Peru,52,53,1457.69,1455.87,CONMEBOL
2026-06-11,Costa Rica,53,51,1456.03,1459.9,CONCACAF
2026-06-11,Romania,54,56,1455.89,1451.16,UEFA
2026-06-11,Mali,55,52,1455.59,1459.13,CAF
2026-06-11,Qatar,56,55,1450.31,1454.96,AFC
2026-06-11,Iraq,57,57,1446.28,1447.14,AFC
2026-06-11,Republic of Ireland,58,59,1441.1,1436.63,UEFA
2026-06-11,Slovenia,59,58,1441.09,1446.44,UEFA
2026-06-11,South Africa,60,60,1428.38,1429.73,CAF
2026-06-11,Saudi Arabia,61,61,1423.88,1421.43,AFC
2026-06-11,Burkina Faso,62,62,1406.99,1412.49,CAF
2026-06-11,Jordan,63,63,1387.74,1391.45,AFC
2026-06-11,Bosnia and Herzegovina,64,65,1387.22,1385.84,UEFA
2026-06-11,Honduras,65,66,1378.97,1380.27,CONCACAF
2026-06-11,Albania,66,64,1376.03,1388.06,UEFA
2026-06-11,Cape Verde,67,69,1371.11,1366.13,CAF
2026-06-11,United Arab Emirates,68,68,1370.47,1370.47,AFC
2026-06-11,North Macedonia,69,67,1369.16,1372.04,UEFA
2026-06-11,Northern Ireland,70,70,1365.3,1362.16,UEFA
